Species,type,body_size_grams,density,abundance,patch_area,diversity_patch,richness_patch,location,reference
Tylomys nudicaudus,rodent,181.65,NA,4,12557,NA,NA,Mexico,Estrada_etal1994
Tylomys nudicaudus,rodent,181.65,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Tylomys nudicaudus,rodent,181.65,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Tylomys nudicaudus,rodent,181.65,NA,4,100,NA,NA,Mexico,Estrada_etal1994
Peromyscus leucopus,rodent,21.21,NA,2,12557,NA,NA,Mexico,Estrada_etal1994
Peromyscus leucopus,rodent,21.21,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Peromyscus leucopus,rodent,21.21,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Peromyscus leucopus,rodent,21.21,NA,2,100,NA,NA,Mexico,Estrada_etal1994
Peromyscus mexicanus,rodent,46.55,NA,262,12557,NA,NA,Mexico,Estrada_etal1994
Peromyscus mexicanus,rodent,46.55,NA,29,80,NA,NA,Mexico,Estrada_etal1994
Peromyscus mexicanus,rodent,46.55,NA,11,800,NA,NA,Mexico,Estrada_etal1994
Peromyscus mexicanus,rodent,46.55,NA,302,100,NA,NA,Mexico,Estrada_etal1994
Sigmodon hispidus,rodent,132.5,NA,20,12557,NA,NA,Mexico,Estrada_etal1994
Sigmodon hispidus,rodent,132.5,NA,4,80,NA,NA,Mexico,Estrada_etal1994
Sigmodon hispidus,rodent,132.5,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Sigmodon hispidus,rodent,132.5,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Coendou mexicanus,rodent,2000,NA,8,12557,NA,NA,Mexico,Estrada_etal1994
Coendou mexicanus,rodent,2000,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Coendou mexicanus,rodent,2000,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Coendou mexicanus,rodent,2000,NA,6,100,NA,NA,Mexico,Estrada_etal1994
Dasyprocta mexicana,rodent,5000,NA,14,12557,NA,NA,Mexico,Estrada_etal1994
Dasyprocta mexicana,rodent,5000,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Dasyprocta mexicana,rodent,5000,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Dasyprocta mexicana,rodent,5000,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Agouti paca,rodent,8000,NA,6,12557,NA,NA,Mexico,Estrada_etal1994
Agouti paca,rodent,8000,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Agouti paca,rodent,8000,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Agouti paca,rodent,8000,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Bassariscus sumichrasti,carnivore,2722,NA,60,12557,NA,NA,Mexico,Estrada_etal1994
Bassariscus sumichrasti,carnivore,2722,NA,26,80,NA,NA,Mexico,Estrada_etal1994
Bassariscus sumichrasti,carnivore,2722,NA,3,800,NA,NA,Mexico,Estrada_etal1994
Bassariscus sumichrasti,carnivore,2722,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Procyon lotor,carnivore,4309,NA,10,12557,NA,NA,Mexico,Estrada_etal1994
Procyon lotor,carnivore,4309,NA,11,80,NA,NA,Mexico,Estrada_etal1994
Procyon lotor,carnivore,4309,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Procyon lotor,carnivore,4309,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Nasua narica,carnivore,6250,NA,24,12557,NA,NA,Mexico,Estrada_etal1994
Nasua narica,carnivore,6250,NA,8,80,NA,NA,Mexico,Estrada_etal1994
Nasua narica,carnivore,6250,NA,0,800,NA,NA,Mexico,Estrada_etal1994
